Bildname,Prompt,Negativprompt
32aa7d56b8da1a36a04dd9201d95eaaa Kopie.jpg,"majestic waterfall over cliff edge, dramatic light and shadows, lush canyon, realistic water motion, ultra high detail, realism","glossy finish, overenhanced, soft focus, missing texture detail"
41a596b95994622a93fde5bfa9ec68fe Kopie.jpg,"eroded sandstone canyon close-up, wave-like rock formations, rich orange tones, ultra crisp detail, photorealism ","CGI look, flat texture, low fidelity, plastic-like surface"
50f26cd45487c741fc1e51ed89a9ae40 Kopie.jpg,"tree struck by lightning at night, illuminated branches glowing, dramatic stormy sky, realistic lightning bolts, high dynamic range, SDXL photorealism","low contrast, poorly lit, synthetic fire, fake lightning, motion blur"
58e344c4bd9a8bdcdfad520d87c7b203 Kopie.jpg,"natural rock arch over a calm reflective pool, desert sunlight, detailed rock textures, clouds reflected in water, hyper photorealistic ","distorted symmetry, lack of reflection, grainy texture, CGI artifacts"
60ec3db4daacc4a3482533465e30f6dd Kopie.jpg,"sunset over snowy mountain landscape, glowing arc of light, soft clouds, glowing horizon, icy foreground, extremely realistic lighting","fake glow, sci-fi aesthetics, out of focus, digital noise, unrealistic horizon"
65fb946b090036e2cb9a03f67c7faa1b Kopie.jpg,"underwater swan diving in a crystal clear spring, lush green algae, calm water ripples, natural light","blurry, overexposed, low resolution, unnatural colors, artifacts"
83cd6a8c2c3c00c05dba6e2d0bed3939 Kopie.jpg,"view straight up into a forest canopy, tall trees forming a natural pattern, clear sky, golden green leaves","cartoon, illustration, overexposed, low detail, fake textures"
98e990a4bee4fc6041de9a79a42c905e Kopie.jpg,"desert sand dunes at sunset, intricate wind patterns in the sand, deep blue sky, minimalism, no people","unrealistic colors, noise, artifacts, overexposure, digital distortion"
342d2676cb0d917b41f3788b97228943 Kopie.jpg,"sunset ocean splash, water droplets in motion, vibrant colors, dramatic lighting, hyperrealistic details","low detail, over-processed, distorted reflections, artificial colors"
350cf16948d9d074d1ba4cd47eac19ae Kopie.jpg,"majestic canyon waterfall, multiple tiers, steep red cliffs, green forest surrounding, sunny day, high contrast","blurry, cartoonish, low contrast, overexposed sky, fake vegetation"
704da47d71f3169d308ae19369816db7 Kopie.jpg,"tall isolated waterfall dropping off a cliff, deep canyon, dramatic landscape, golden hour lighting","unrealistic lighting, digital artifacts, low resolution, stylized filters"
0754c77d4ef4073c89730ba2afe2f8dd Kopie.jpg,"close-up of sandstone wave formation, smooth curves, natural texture, vivid earthy colors, clear details","over-saturation, digital noise, artificial lighting, plastic texture"
948ab256025105091810ed442b548735 Kopie.jpg,"lightning bolt striking a tree, dramatic storm clouds, surreal lighting, vivid contrast, natural landscape","CGI effects, fake fire, noise, blur, unrealistic scene"
1242c23db5c2c4b59beca45830841137 Kopie.jpg,"natural rock arch with reflection in calm water, vivid sky, erosion textures, symmetrical landscape","fake reflections, distorted geometry, oversaturation, artifacts"
3845c0d1842ed497904f9a79e5e8d9eb Kopie.jpg,"sunset behind mountain range with glowing halo, snow-covered foreground, lake reflections, cinematic light","digital glow, lens flare, low realism, blurred elements"
6817a0e4284c749b97e3558687fd7bbd Kopie.jpg,"dramatic mushroom cloud rising over a desert landscape, billowing smoke and glowing sunlight, highly detailed cloud texture, extreme weather phenomenon, wide angle, HDR, ultra-photorealistic, sharp focus, 8k","blurry, low resolution, cartoonish, overexposed, artificial look, low detail"
7284e0d6b78a98b4ed99cafddb578cd3 Kopie.jpg,"aerial view of snow-covered mountain range with glacier, clear blue sky, sharp contrast, majestic peaks, high-altitude terrain, ultra-detailed, natural lighting, photorealistic, 8k","foggy, low detail, overprocessed, synthetic appearance, pixelated edges"
8909e59f6f1a8a269c2ed514d36efc6f Kopie.jpg,"lush tropical jungle with wooden bridge over calm river, rich green foliage, natural sunlight, morning mist, high resolution, organic details, photorealistic, immersive atmosphere, 8k","flat colors, digital painting, unrealistic foliage, simplified forms, unnatural lighting"
35568d971837a216af27b2dae7e9f223.jpg,"forest path leading to a bench, surrounded by arching green vegetation, natural tunnel effect, serene and peaceful mood, vibrant greens, photorealistic depth and lighting, high resolution, 8k","noise, digital blur, washed out colors, artificial green, cartoon-like rendering"
40676fc9cd3d5491e71cd8e0eb7c77b9 Kopie.jpg,"buffalo swimming through deep dark water, ripples and reflections, close-up detail on fur and horns, low natural light, moody atmosphere, photorealistic texture, 8k","low detail, animated style, poorly lit, artificial textures, flat water surface"
41230a0bd2969a8abf7f55126766ed95.jpg,"Victoria Falls aerial view at sunset, cascading waterfalls between lush cliffs, golden hour light, powerful water motion, fine landscape details, ultra high resolution, photorealistic, 8k","oversaturated, fake HDR, unnatural terrain, low detail water, distortion"
64306cb2e31610d2e7b603b735d0dda0 Kopie.jpg,"The Wave rock formation with vivid striations under deep blue sky, detailed sandstone texture, desert lighting, wide angle view, ultra photorealistic landscape, 8k","faded texture, unrealistic curves, poor resolution, stylized appearance"
67191db9d51ccb6a1123b604aa381484 Kopie.jpg,"aerial view of autumn forest with vibrant red, orange, yellow and green trees, rich foliage textures, natural seasonal change, full frame top-down view, ultra photorealistic, 8k","bland colors, synthetic foliage, low resolution, noise, stylized effects"
87070b4aa43160fdcd91f420db7b5569 Kopie.jpg,"Antelope Canyon interior with light streaming through narrow red sandstone walls, detailed textures and warm tones, immersive composition, ultra photorealistic, 8k","washed-out lighting, cartoon look, poor depth, generic textures, fake"
108157f358da3f63d88e9a46a83fd2d2.jpg,"colorful desert rock formations with layered textures and unique erosion, bright sunlight, expansive sky, geological precision, ultra-detailed and photorealistic, 8k","flat colors, blurred patterns, low-resolution, exaggerated contrast"
4421127086ea0c5113fe471ed90df435 Kopie.jpg,"a massive cumulonimbus cloud in the desert, dramatic lighting, highly detailed, towering formation, sunset illumination, deep shadows, photorealistic, ultra-high-resolution","low resolution, cartoon, CGI, unrealistic lighting, artificial colors, blurred details, overexposed sky"
15425775078_4ccc76ed64_b.jpg,"aerial view of a vast snow-covered mountain range with a winding glacier, crisp morning light, extreme detail, clear blue sky, photorealistic, ultra-high-resolution","blurry, low detail, oversaturated, fake snow, digital painting, artifacts, cloudy sky"
a5cacaefa856f68c119f7fc93c631b9e Kopie.jpg,"lush tropical rainforest with a wooden bridge over a calm stream, misty atmosphere, dense green foliage, soft light, photorealistic, ultra-high-resolution","flat lighting, washed out colors, digital illustration, noise, low-res details, dry vegetation"
a15ee82142f1a793c7aeed5624d05bbd.jpg,"mystical green tunnel of dense foliage with a bench in the center, immersive natural light, vibrant greenery, high contrast, photorealistic, ultra-high-resolution","synthetic textures, low detail, poor contrast, artificial symmetry, low-res, dull colors"
a45a0c7f0481fa9c85b8170c7d9d7b8c Kopie.jpg,"a wild buffalo with curved horns swimming in dark water, realistic ripples, wet fur texture, dramatic ambient light, photorealistic, ultra-high-resolution","CGI, unnatural textures, smudged water, lack of detail, poorly lit, overprocessed"
a49f4859eab47723e05dd7ab12e4271a.jpg,"majestic waterfall plunging from tall cliffs into a river valley, golden hour light, fine mist, detailed terrain and vegetation, photorealistic, ultra-high-resolution","flat terrain, dry riverbed, low contrast, artificial details, digital painting style"
a02026daa51086c08f7d8829780eafeb Kopie.jpg,"The Wave rock formation with curved, layered sandstone in rich orange tones, under deep blue sky, midday sun, ultra-sharp textures, photorealistic, ultra-high-resolution","poorly textured, dull colors, distorted geometry, painting-like finish, low-res"
a17529fd17b5c0a4841a5c4b593f8b8a.jpg,"aerial view of a forest in autumn, vivid foliage in red, orange, yellow and green tones, natural sunlight, organic tree structure, photorealistic, ultra-high-resolution","flat colors, fake symmetry, stylized illustration, pixelated, low dynamic range"
Antelope_canyon_3456x2234.jpg,"sunlit passage through Antelope Canyon, rich red sandstone walls with smooth curves, natural light shaft, realistic shadows and textures, photorealistic, ultra-high-resolution","cartoon effect, oversharpened edges, flat textures, synthetic lighting, digital art style"
Antelope_Canyon_rock_formations_3456x2234.jpg,"Antelope Canyon wide view, striated sandstone layers in vibrant colors, natural sunlight from above, rugged terrain details, photorealistic, ultra-high-resolution","blurry, computer-generated, low texture definition, color banding, flat surfaces"
Apulien.jpg,"traditional Apulian stone hut in rural Southern Italy, surrounded by green grass and Mediterranean trees, bright daylight, clear sky, photorealistic, ultra high resolution, natural lighting, realistic textures","distorted architecture, oversaturated colors, cartoonish, artificial lighting, fantasy elements, blurry details"
b07a6ce013d9bc8da77da7a6292a9c86 Kopie.jpg,"drone shot of Grand Prismatic Spring in Yellowstone National Park, vivid colors of thermal pool, geological texture, steam rising, photorealistic, ultra high resolution, top-down perspective","fantasy colors, artificial glow, unrealistic formations, blurry, pixelated, low detail"
b4918872bd4d760002c6c8af7430d0e7 Kopie.jpg,"close-up of a cape buffalo in dramatic lighting, partially emerging from shadows, detailed fur texture, intense eye contact, photorealistic, ultra high resolution","unrealistic lighting, cartoon shadows, missing detail, stylized"
ba5c8945327c6f40ea90cfbcd2d6780d.jpg,"sunset view of a dramatic cliff and turquoise sea on Navagio Beach, Zakynthos, Greece, seagulls flying, vibrant sky, realistic water and rock texture, photorealistic, ultra high resolution","low detail, unrealistic reflections, fantasy lighting, overly smooth"
ba34b1505498ea09b5f9ce414bdd22f6 Kopie.jpg,"macro photo of layered sedimentary rock, warm natural tones, intricate textures and erosion details, photorealistic, ultra high resolution","low resolution, synthetic texture, fantasy rock, smooth and plastic-like"
be9a8f1292ab56df4bc51683ae6c6e77 Kopie.jpg,"bioluminescent octopus in dark ocean environment, glowing blue and orange spots, natural underwater lighting, highly detailed texture, photorealistic, ultra high resolution","cartoonish octopus, neon colors, low detail, stylized lighting"
be879f668f745b0cabe728c2ecf403ad.jpg,"sun rising behind tropical mountains, palm leaves in foreground, misty atmosphere, lush greenery, photorealistic, ultra high resolution, cinematic lighting","flat lighting, artificial color grading, stylized jungle, low detail foliage"
bebcd4b448e95dd42ded13d0c1f3d197.jpg,"wave crashing on ocean surface during sunset, glowing orange and blue reflections, motion captured in sharp detail, water spray sparkling, photorealistic, ultra high resolution","blurry water, stylized reflections, surreal lighting, low detail spray"
Bildschirm­foto 2024-04-18 um 00.11.24 Kopie.jpg,"long exposure of waterfall in rocky forest landscape, mountain in background, colorful autumn foliage, dramatic sky at dusk, photorealistic, ultra high resolution","fantasy colors, overexposure, blurry foliage, cartoon rocks"
Bildschirm­foto 2024-04-18 um 00.12.02 Kopie.jpg,"panoramic view of volcanic landscape with green moss-covered mountains in Iceland, cloudy sky, natural textures, wide angle, photorealistic, ultra high resolution","low detail terrain, stylized clouds, fantasy terrain shapes, artificial textures"
Bildschirm­foto 2024-04-18 um 00.12.54 Kopie.jpg,"majestic waterfall cascading down a high cliff, surrounded by moss-covered rocks, soft daylight, high-resolution nature photography, ultra realistic, fine texture details","blurry, low resolution, artificial colors, overexposed, underexposed, cartoonish, text, logo"
Bildschirm­foto 2024-04-18 um 00.15.10 Kopie.jpg,"colorful layered mountains with vivid striations, desert vegetation, clear blue sky, high-resolution landscape photography, photorealistic detail, rich texture and color depth","low detail, flat lighting, unrealistic saturation, distorted perspective, digital artifacts"
Bildschirm­foto 2024-04-18 um 00.15.26 Kopie.jpg,"glacial mountain lake reflecting jagged peaks at sunset, smooth water surface, soft lighting, ultra realistic and detailed, serene atmosphere, high-resolution photo","pixelated, oversaturated, noisy image, HDR effect, unnatural reflections, CGI look"
Bildschirm­foto 2024-04-18 um 00.15.37 Kopie.jpg,"colorful rhyolite mountains under blue sky, mossy valley in foreground, pristine and vibrant nature scene, crisp and clear high-resolution photography","muddy colors, low dynamic range, flat texture, low quality image, artifacts"
Bildschirm­foto 2024-04-18 um 00.15.57 Kopie.jpg,"dramatic contrast between golden rolling hills and rocky alpine mountain, soft warm evening light, rich organic textures, ultra-high-resolution, photorealistic nature landscape","fake lighting, dull colors, poor resolution, artificial sharpness, unrealistic terrain"
Bildschirm­foto 2024-04-18 um 00.19.10 Kopie.jpg,"northern lights over icy lagoon, floating icebergs, starry sky, long exposure, vibrant yet natural colors, ultra-detailed and photorealistic","blurred stars, unnatural color banding, overprocessed, text or graphics"
Bildschirm­foto 2024-04-18 um 00.20.24 Kopie.jpg,"aerial view of volcanic crater lake, deep blue water, green mossy terrain, clear skies, fine surface textures, ultra-high resolution, realistic lighting","pixelated, synthetic look, noisy surface, poor contrast, digital errors"
Bildschirm­foto 2024-04-18 um 00.21.07 Kopie.jpg,"glacier ice formation with unique shape, cool blue tones, soft sky in background, realistic ice textures, high-detail nature photography","CGI style, artificial lighting, low-res, flat textures, artifacts"
Bildschirm­foto 2024-04-18 um 00.21.17 Kopie.jpg,"northern lights in sky over icy water, vivid green and purple tones, glowing reflections, crystal-clear, photorealistic, ultra-high-definition night landscape","distorted stars, overenhanced colors, noise, cartoonish elements, text"
Bildschirm­foto 2024-04-18 um 00.25.04 Kopie.jpg,"serene beach with gentle waves, soft pastel sky, distant mountains, smooth sand, ultra-detailed, peaceful atmosphere, high-resolution natural photo","harsh lighting, fake waves, pixelation, unrealistic color grading"
Bildschirmfoto 2024-04-18 um 00.25.26 Kopie.jpg,"majestic jagged mountain range with snow-dusted peaks and alpine meadow, dramatic clouds overhead, clear atmospheric lighting, hyper-realistic landscape, ultra-detailed textures","low resolution, blurry, overexposed, artificial colors, unrealistic shadows, lens flare"
Bildschirmfoto 2024-04-18 um 00.26.31 Kopie.jpg,"calm alpine lake at sunset, vibrant reflections of sky and forest, soft pink and purple clouds, tranquil atmosphere, photorealistic water surface, ultra-sharp details","distorted reflections, low detail, unnatural lighting, flat colors, over-saturation"
Bildschirmfoto 2024-04-18 um 00.28.26 Kopie.jpg,"seaside pier at golden hour, dynamic ocean waves, detailed cloudscape, warm natural light, high-definition textures, cinematic seascape scene","pixelation, washed-out colors, poor contrast, fake water texture, unrealistic horizon"
Bildschirmfoto 2024-04-18 um 00.29.01 Kopie.jpg,"forest island in a mountain lake, mirror-like reflections, golden hour sunlight, crisp detail on trees and rocks, photorealistic water and light behavior","digital noise, fake-looking trees, artificial shadows, symmetry errors, dull textures"
Bildschirmfoto 2024-04-18 um 00.29.31 Kopie.jpg,"serene mountain lake at dusk, twilight sky with pink clouds, clear mirror reflection, natural forest edge, atmospheric realism, crisp detail and color accuracy","cloud artifacts, color banding, lack of detail, overly smooth surfaces, stylized look"
Bildschirmfoto 2024-04-18 um 00.35.44 Kopie.jpg,"ice cave with glowing blue walls, person with headlamp creating light burst, dramatic depth, photorealistic ice textures and rugged rocks, high-resolution atmosphere","cartoon style, low-res textures, lighting errors, incorrect perspective, grainy shadows"
Bildschirmfoto 2024-04-18 um 00.44.00 Kopie.jpg,"mother and child resting in harvested cotton field, natural ambient light, high realism, soft texture of cotton, detailed human expressions and traditional clothing","AI artifacts, unnatural posture, synthetic texture, flat lighting, misaligned body parts"
Bildschirmfoto 2024-04-18 um 00.44.27 Kopie.jpg,"trees reflected in floodwater, abstract mirrored landscape, natural overcast lighting, sharp silhouettes, ethereal calm atmosphere, organic scene structure","unreal reflections, low resolution, over-enhanced contrast, texture mismatch"
Bildschirmfoto 2024-04-18 um 00.44.48 Kopie.jpg,"aerial view of cotton bundles wrapped in green leaves, man lying on top, clear textures, natural sunlight, organic repetition, authentic rural setting","repetition artifacts, unnatural leaf colors, flat surfaces, low detail, synthetic lighting"
Bildschirmfoto 2024-04-18 um 00.45.17 Kopie.jpg,"top view of colorful traditional carpets, rich textile patterns, sunlight highlights, vivid colors with fabric texture fidelity, ultra-detailed photorealism","blurry textures, low pattern resolution, unrealistic shadows, digital pattern errors"
Bildschirmfoto 2024-04-18 um 00.45.29 Kopie.jpg,"Aerial view of Venice, Italy, with the Grand Canal winding through terracotta rooftops, high-resolution, midday sunlight, minimal clouds, realistic textures, ultra-detailed","blurry, distorted, low-resolution, surreal colors, unnatural lighting"
Bildschirmfoto 2024-04-18 um 00.46.05 Kopie.jpg,"Golden hour aerial view of old Sana'a, Yemen, traditional brick houses with white patterns, sharp shadows, historic Islamic architecture, highly detailed, natural lighting","modern buildings, flat lighting, oversaturated, abstract shapes, futuristic elements"
Bildschirmfoto 2024-04-18 um 00.46.29 Kopie.jpg,"Desert well gathering in Rajasthan, India, people in colorful saris, camels nearby, sandy environment, clear textures, high-resolution cultural scene","urban setting, dull colors, no people, blurry or cartoonish textures"
Bildschirmfoto 2024-04-18 um 00.47.13 Kopie.jpg,"Aerial view of the Great Wall of China over forested mountains, golden hour lighting, clear weather, ultra-detailed textures, photorealistic","foggy, modern roads, low-resolution, fantasy elements, oversharpened"
Bildschirmfoto 2024-04-18 um 00.49.06 Kopie.jpg,"Glowworm cave interior, thousands of bioluminescent lights on cave ceiling, person standing inside, wet stone textures, reflections in water, hyperrealistic, dark ambient lighting","daylight, artificial lighting, washed out colors, sci-fi elements"
Bildschirmfoto 2024-04-18 um 00.49.30 Kopie 2.jpg,"Bioluminescent beach waves under starlit sky, glowing blue plankton along the shoreline, clear reflections, soft wave textures, photorealistic night shot","bright sunlight, artificial lighting, low-res textures, fantasy colors"
Bildschirmfoto 2024-04-18 um 00.50.08 Kopie.jpg,"Bioluminescent sea along steep cliffs at twilight, glowing blue waves, dark natural stone, calm sea, atmospheric light transition, highly detailed and natural","sunny beach, fantasy cliffs, neon lighting, low detail"
Bildschirmfoto 2024-04-18 um 00.50.55 Kopie.jpg,"Leopard walking across red desert ground, focused eyes, high-resolution fur texture, golden hour lighting, photorealistic wildlife scene","motion blur, jungle background, unrealistic pattern, low detail"
Bildschirmfoto 2024-04-18 um 00.53.09 Kopie.jpg,"View from ocean floor looking up at swarm of sharks circling, sunlight filtering through deep blue water, photorealistic underwater atmosphere","cartoon sharks, murky water, low detail, fantasy lighting"
Bildschirmfoto 2024-04-18 um 00.53.37 Kopie.jpg,"Sun rays filtering through tall redwood forest, low angle view, lush undergrowth, mist in the air, vivid natural lighting, photorealistic foliage detail","clear sky, no sun rays, artificial lighting, jungle vines"
Bildschirm­foto 2024-04-18 um 00.54.57 Kopie.jpg,"aerial photo of Venice, Italy, showing the entire island structure surrounded by water, highly detailed urban layout, orange tiled rooftops, bright daylight, very high resolution, photorealistic, natural colors","distortion, low resolution, overexposure, artificial look, blurry areas, low detail, cartoon style"
Bildschirm­foto 2024-04-18 um 00.57.10 Kopie.jpg,"aerial view of Sana'a, Yemen, traditional brick buildings with white decorations, golden hour lighting, densely packed historic architecture, high detail, very high resolution, photorealistic, warm tones","modern buildings, washed out colors, low detail, digital artifacts, stylized rendering, cartoon effects"
Bildschirm­foto 2024-04-18 um 01.01.02 Kopie.jpg,"aerial photo of a desert village in Rajasthan, India, people in colorful traditional clothes, camels resting, scattered trees, earthy tones, photorealistic, high resolution, natural lighting, organic composition","overexposed, low detail, artificial colors, fantasy elements, stylized"
Bildschirm­foto 2024-04-18 um 01.01.53 Kopie.jpg,"aerial view of the Great Wall of China winding through mountains, dramatic shadows and sunlight, natural colors, expansive mountainous terrain, photorealistic, very high resolution","flat lighting, exaggerated colors, blurry sections, unrealistic elements"
Bildschirmfoto 2025-04-17 um 23.34.53 Kopie.jpg,"glowworm cave interior, glowing blue bioluminescent worms on cave ceiling, person standing for scale, dark rock textures, reflection in water, high detail, photorealistic, long exposure style","noisy image, oversaturation, fantasy elements, painting effect, low resolution"
Bildschirmfoto 2025-04-17 um 23.36.46 Kopie.jpg,"bioluminescent waves at night, glowing blue shoreline under starry sky, natural ocean motion, photorealistic, very high resolution, magical yet realistic appearance","fake lighting, excessive contrast, blurry or painterly, cartoon effect"
Bildschirmfoto 2025-04-17 um 23.38.38 Kopie.jpg,"bioluminescent beach at night, towering cliff faces, glowing waves, dark atmosphere with natural starlight, high resolution, ultra realistic textures and light behavior","artificial lighting, fantasy mood, low detail, surreal rendering"
Bildschirmfoto 2025-05-14 um 17.46.08 Kopie.jpg,"leopard walking across a sandy terrain, sharp focus on eyes and fur, natural lighting, photorealistic wildlife photography, soft background blur, high resolution","motion blur, digital painting, unrealistic textures, low detail"
c3b32cdea5014bf77e6fc3fb8dca6e8f Kopie.jpg,"school of sharks viewed from underwater, light rays from surface, dramatic perspective, high resolution marine photography, deep blue water tones, realistic shadows","flat lighting, artificial look, low quality rendering, fantasy style"
c61c0abae8973bebc98a4ed72d9fb673 Kopie.jpg,"sunlight piercing through tall forest canopy, redwood trees, dramatic light rays and mist, lush undergrowth, natural tones, photorealistic forest atmosphere, very high resolution","overprocessed image, low dynamic range, unrealistic light beams, stylized look"
c25329e397fd5e3df49656a4119f0df2 Kopie.jpg,"a vivid view of a rainbow seen through a rain-covered window, water droplets in sharp focus on the glass, rainbow in the background sky, soft pastel tones, golden hour lighting, high realism, natural colors, shallow depth of field","low resolution, oversaturation, artificial lighting, blurred foreground, distortion, noise"
ca357a5f803fbb6d327a6742d7e3c0ea Kopie.jpg,"a bioluminescent shoreline glowing in deep blue at twilight, waves gently hitting dark coastal rocks, surreal marine glow, soft sky gradient, calm ocean, magical atmosphere, long exposure look, high detail, photorealism","daylight, artificial lighting, low detail, washed-out colors, overexposed areas"
cbe9ba1c4fad64b255e657895e79d960.jpg,"a translucent golden jellyfish floating in black water, fine tendrils illuminated with delicate lighting, organic structure, clear texture of the bell, high resolution macro detail, otherworldly beauty, marine life","low detail, noisy background, clutter, distorted features, fake lighting"
cd7ed3865acf7676ac4dfe204ed35371 Kopie.jpg,"ancient Egyptian tomb chamber with vividly painted hieroglyphs and figures, lit with warm ambient light, symmetrical pillars, rich textures on walls, authentic archeological environment, museum atmosphere, high resolution","modern objects, plastic textures, low detail, unrealistic lighting, distortion"
CinqueTerre_italien Kopie.jpg,"a scenic coastal town in Cinque Terre, Italy, pastel-colored houses on rocky cliffs, waves crashing on shore, calm sky at sunset, photorealistic detail, Mediterranean architecture, vibrant yet natural colors","fog, blur, flat colors, low resolution, cartoonish appearance"
d0c7a84318678c59115d5b56ec168558.jpg,"aerial view of sculpted desert dunes with dramatic shadows, soft orange and beige gradient in sand layers, evening light casting depth, natural patterns and texture, high-definition realism","harsh contrast, low detail, unrealistic shapes, noise, washed colors"
db46d50bb9d3a100667371b7a522387a Kopie.jpg,"a large rock cave pool with turquoise water, natural skylight opening above, swirling stone layers in warm tones, lone swimmer in serene light, untouched environment, natural beauty, ultra-realistic","man-made structures, artificial lighting, low detail, unrealistic reflections"
db7213c792226cd0ad11c2868e2be3e6 Kopie.jpg,"high-resolution stylized waterfall on deep blue background, isolated water flow with intricate textures, motion captured mid-fall, abstract elegance, minimalistic color scheme, ultra-clean aesthetic","background clutter, unnatural water color, artifacts, low resolution"
dd36a8431e4d1ed4b379dbe7fea4ab36.jpg,"a semi-transparent octopus against black background, bioluminescent textures, fine tentacle details, soft lighting, anatomical accuracy, photorealistic marine life study, dark aquatic atmosphere","cartoon style, low realism, poor contrast, background noise"
dfbabfafed5d6785e3046e85a63bbd63.jpg,"satellite view of a Martian canyon with dramatic elevation, reddish-brown textures, erosion lines, subtle blue ice hints, extraterrestrial landscape, realistic planetary surface, sharp terrain detail","fake terrain, blurry textures, saturated colors, unnatural patterns"
dfcfb485aab39dbd27907e9744b471b8-1.jpg,"smooth river stones under crystal clear water, sunlight reflections, natural color palette, high detail, photorealistic texture, SDXL, ultra high resolution","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
e2cff91c70387865e9da50e914c0b9e8.jpg,"split view of dolphin underwater and cloudy sky above, photorealistic marine environment, clear light rays, dynamic water texture, ultra high resolution","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
e4f05d430b8cdcd4aaac62ee7d361583 Kopie.jpg,"vivid coral reef scene with colorful fish, realistic water caustics, natural sunlight filtering, rich marine biodiversity, photorealistic detail, ultra high resolution","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
e05b30d9a1ea4c273ea9f9d0c7513dcd.jpg,"stylized anime landscape of vast mountains at dusk, illuminated towns in valleys, natural haze, cinematic perspective, SDXL, high realism with stylized detail","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
